iri	iri label	attribute	attribute label	entity	entity label	
TO:0000669	deoxynivalenol content	PATO:0000025	composition	CHEBI:10022	Vomitoxin
TO:0002699	lycopene content	PATO:0000025	composition	CHEBI:15948	lycopene
TO:0005002	oleic acid content	PATO:0000025	composition	CHEBI:16196	oleic acid
TO:0000605	hydrogen peroxide content	PATO:0000025	composition	CHEBI:16240	hydrogen peroxide
TO:0006004	raffinose content	PATO:0000025	composition	CHEBI:16634	raffinose
TO:0000489	carbohydrate composition related trait	PATO:0000025	composition	CHEBI:16646	carbohydrate
TO:0000300	glucose content	PATO:0000025	composition	CHEBI:17234	glucose
TO:0005001	linoleic acid content	PATO:0000025	composition	CHEBI:17351	linoleic acid
TO:0000955	cyanide content	PATO:0000025	composition	CHEBI:17514	cyanide
TO:0002695	beta-carotene content	PATO:0000025	composition	CHEBI:17579	beta-carotene
TO:0000675	ferulic acid content	PATO:0000025	composition	CHEBI:17620	ferulic acid
TO:0000602	total fat content	PATO:0000025	composition	CHEBI:17855	triglyceride
TO:0000328	sucrose content	PATO:0000025	composition	CHEBI:17992	sucrose
TO:0000307	hexose content	PATO:0000025	composition	CHEBI:18133	hexose
TO:0006007	polysaccharide content	PATO:0000025	composition	CHEBI:18154	polysaccharide
TO:0000293	chlorophyll-a content	PATO:0000025	composition	CHEBI:18230	chlorophyll a
TO:0000993	cellulose content	PATO:0000025	composition	CHEBI:18246	(1->4)-beta-D-glucan
TO:0002668	jasmonic acid content	PATO:0000025	composition	CHEBI:18292	jasmonic acid
TO:0002676	brassinosteroid content	PATO:0000025	composition	CHEBI:22921	brassinosteroid
TO:0000496	carotenoid content	PATO:0000025	composition	CHEBI:23044	carotenoid
TO:0002660	cytokinin content	PATO:0000025	composition	CHEBI:23530	cytokinin
TO:0000281	metabolite content trait	PATO:0000025	composition	CHEBI:25212	metabolite
TO:0000668	mycotoxin content	PATO:0000025	composition	CHEBI:25442	mycotoxin
TO:0005004	omega-3 fatty acid content	PATO:0000025	composition	CHEBI:25681	omega-3 fatty acid
TO:0006002	proline content	PATO:0000025	composition	CHEBI:26271	proline
TO:0000301	xanthophyll content	PATO:0000025	composition	CHEBI:27325	xanthophyll
TO:0005005	alpha-linolenic acid content	PATO:0000025	composition	CHEBI:27432	alpha-linolenic acid
TO:0000295	chlorophyll-b content	PATO:0000025	composition	CHEBI:27888	chlorophyll b
TO:0002674	tryptophan content	PATO:0000025	composition	CHEBI:27897	tryptophan
TO:0000696	starch content	PATO:0000025	composition	CHEBI:28017	starch
TO:0000097	amylopectin content	PATO:0000025	composition	CHEBI:28057	amylopectin
TO:0002696	alpha carotene content	PATO:0000025	composition	CHEBI:28425	alpha-carotene
TO:0006005	fructose content	PATO:0000025	composition	CHEBI:28757	fructose
TO:0020068	beta-glucan content	PATO:0000025	composition	CHEBI:28793	beta-D-glucan
TO:0002675	gibberellic acid content	PATO:0000025	composition	CHEBI:28833	gibberellin A3
TO:0002701	lutein content	PATO:0000025	composition	CHEBI:28838	lutein
TO:0005003	stearic acid content	PATO:0000025	composition	CHEBI:28842	stearic acid
TO:0000495	chlorophyll content	PATO:0000025	composition	CHEBI:28966	chlorophyll
TO:0002673	amino acid content	PATO:0000025	composition	CHEBI:33709	amino acid
TO:0002698	acyclic carotene content	PATO:0000025	composition	CHEBI:35162	acyclic carotene
TO:0002697	cyclic carotene content	PATO:0000025	composition	CHEBI:35163	cyclic carotene
TO:0000071	anthocyanin content	PATO:0000025	composition	CHEBI:35218	anthocyanin cation
TO:0006006	monosaccharide content	PATO:0000025	composition	CHEBI:35381	monosaccharide
TO:0000932	mannose content	PATO:0000025	composition	CHEBI:37684	mannose
TO:0006003	oligosaccharide content	PATO:0000025	composition	CHEBI:50699	oligosaccharide
TO:0002669	diterpenoid phytoalexin content	PATO:0000025	composition	CHEBI:60952	diterpene phytoalexin
TO:0000731	lignin content	PATO:0000025	composition	CHEBI:6457	lignin
TO:0000690	maysin content	PATO:0000025	composition	CHEBI:70206	maysin
TO:0000313	perodidase-71 content	PATO:0000025	composition	CHEBI:8027	Peroxidase
TO:0000493	leaf composition trait	PATO:0000025	composition	PO:0025034	leaf
