iri	iri label	attribute	attribute label	entity	entity label	
TO:0000586	seminal root length	PATO:0000122	length	PO:0000046	seminal root
TO:0002665	root hair length	PATO:0000122	length	PO:0000256	root hair cell
TO:0000553	rhizome length	PATO:0000122	length	PO:0004542	rhizome
TO:0001005	basal tiller length	PATO:0000122	length	PO:0005001	basal axillary shoot system
TO:0002626	fruit length	PATO:0000122	length	PO:0009001	fruit
TO:0020107	plant cell length	PATO:0000122	length	PO:0009002	plant cell
TO:0000227	root length	PATO:0000122	length	PO:0009005	root
TO:0000146	seed length	PATO:0000122	length	PO:0009010	seed
TO:0002609	stamen length	PATO:0000122	length	PO:0009029	stamen
TO:0002607	sepal length	PATO:0000122	length	PO:0009031	sepal
TO:0002605	petal length	PATO:0000122	length	PO:0009032	petal
TO:0000856	lodicule length	PATO:0000122	length	PO:0009036	lodicule
TO:0000650	lemma length	PATO:0000122	length	PO:0009037	lemma
TO:0020033	glume length	PATO:0000122	length	PO:0009039	glume
TO:0000240	sterile lemma length	PATO:0000122	length	PO:0009040	sterile lemma
TO:0000860	flower length	PATO:0000122	length	PO:0009046	flower
TO:0000576	stem length	PATO:0000122	length	PO:0009047	stem
TO:0000271	inflorescence length	PATO:0000122	length	PO:0009049	inflorescence
TO:0002768	spikelet length	PATO:0000122	length	PO:0009051	spikelet
TO:0000630	pedicel length	PATO:0000122	length	PO:0009052	flower pedicel
TO:0002691	peduncle length	PATO:0000122	length	PO:0009053	peduncle
TO:0000817	inflorescence bract length	PATO:0000122	length	PO:0009054	inflorescence bract
TO:0002610	pistil length	PATO:0000122	length	PO:0009062	gynoecium
TO:0000531	anther length	PATO:0000122	length	PO:0009066	anther
TO:0011008	stigma length	PATO:0000122	length	PO:0009073	stigma
TO:0011009	style length	PATO:0000122	length	PO:0009074	style
TO:0000972	spikelet rachilla length	PATO:0000122	length	PO:0009080	spikelet rachilla
TO:0000641	inflorescence primary branch length	PATO:0000122	length	PO:0009081	inflorescence branch
TO:0000880	seed coat length	PATO:0000122	length	PO:0009088	seed coat
TO:0000623	involucre bristle length	PATO:0000122	length	PO:0009100	involucre
TO:0001007	coleoptile length	PATO:0000122	length	PO:0020033	coleoptile
TO:0000544	mesocotyl length	PATO:0000122	length	PO:0020037	mesocotyl
TO:0000766	petiole length	PATO:0000122	length	PO:0020038	petiole
TO:0002690	leaf lamina length	PATO:0000122	length	PO:0020039	leaf lamina
TO:1000020	stipule length	PATO:0000122	length	PO:0020041	stipule
TO:0000887	petiolule length	PATO:0000122	length	PO:0020050	petiolule
TO:0002757	flag leaf length	PATO:0000122	length	PO:0020103	flag leaf
TO:0002689	leaf sheath length	PATO:0000122	length	PO:0020104	leaf sheath
TO:0000024	ligule length	PATO:0000122	length	PO:0020105	ligule
TO:0001012	lateral root length	PATO:0000122	length	PO:0020121	lateral root
TO:0000798	tassel inflorescence length	PATO:0000122	length	PO:0020126	tassel inflorescence
TO:0000145	internode length	PATO:0000122	length	PO:0020142	stem internode
TO:0000135	leaf length	PATO:0000122	length	PO:0025034	leaf
TO:0000554	rhizome internode length	PATO:0000122	length	PO:0025204	rhizome internode
TO:0000808	pseudostem length	PATO:0000122	length	PO:0025248	pseudostem
TO:0006065	seedling hypocotyl length	PATO:0000122	length	PO:0025291	seedling hypocotyl
TO:0000072	awn length	PATO:0000122	length	PO:0025349	awn
TO:0000431	ear length	PATO:0000122	length	PO:0025597	ear infructescence
