iri	iri label	attribute	attribute label	entity	entity label	
http://purl.obolibrary.org/obo/TO_0000398	whole plant morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0000003	
http://purl.obolibrary.org/obo/TO_0000844	in vitro plant structure morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0000004	
http://purl.obolibrary.org/obo/TO_0000789	bud morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0000055	
http://purl.obolibrary.org/obo/TO_0000911	trichome morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0000282	
http://purl.obolibrary.org/obo/TO_0000898	root nodule morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0003023	
http://purl.obolibrary.org/obo/TO_0000549	rhizome morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0004542	
http://purl.obolibrary.org/obo/TO_0000742	subterranean shoot axis tuber morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0004547	
http://purl.obolibrary.org/obo/TO_0000790	axillary bud morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0004709	
http://purl.obolibrary.org/obo/TO_0000942	aleurone layer morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0005360	
http://purl.obolibrary.org/obo/TO_0000747	phyllome morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0006001	
http://purl.obolibrary.org/obo/TO_0000920	infructescence morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0006342	
http://purl.obolibrary.org/obo/TO_0002629	fruit morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0009001	
http://purl.obolibrary.org/obo/TO_0002683	plant cell morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0009002	
http://purl.obolibrary.org/obo/TO_0000043	root morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0009005	
http://purl.obolibrary.org/obo/TO_0000077	shoot system morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0009006	
http://purl.obolibrary.org/obo/TO_0000843	portion of plant tissue morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0009007	
http://purl.obolibrary.org/obo/TO_0000736	plant organ morphology trait	http://purl.obolibrary.org/obo/PATO_0001241	physical object quality	http://purl.obolibrary.org/obo/PO_0009008	
