iri	iri label	attribute	attribute label	entity	entity label	
http://purl.obolibrary.org/obo/TO_0002655	starch grain size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/GO_0043036	starch grain
http://purl.obolibrary.org/obo/TO_1000012	whole plant size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0000003	whole plant
http://purl.obolibrary.org/obo/TO_0000744	subterranean shoot axis tuber size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0004547	subterranean shoot axis tuber
http://purl.obolibrary.org/obo/TO_0000791	axillary bud size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0004709	axillary bud
http://purl.obolibrary.org/obo/TO_0002632	fruit abscission zone size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0006503	fruit abscission zone
http://purl.obolibrary.org/obo/TO_0002625	fruit size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0009001	fruit
http://purl.obolibrary.org/obo/TO_0002684	plant cell size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0009002	plant cell
http://purl.obolibrary.org/obo/TO_0000113	giant embryo	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0009009	plant embryo
http://purl.obolibrary.org/obo/TO_0000391	seed size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0009010	seed
http://purl.obolibrary.org/obo/TO_0002601	stamen size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0009029	stamen
http://purl.obolibrary.org/obo/TO_0002604	sepal size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0009031	sepal
http://purl.obolibrary.org/obo/TO_0002603	petal size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0009032	petal
http://purl.obolibrary.org/obo/TO_0000892	stem size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0009047	stem
http://purl.obolibrary.org/obo/TO_0006031	inflorescence size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0009049	inflorescence
http://purl.obolibrary.org/obo/TO_0002602	pistil size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0009062	gynoecium
http://purl.obolibrary.org/obo/TO_0000768	petiole size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0020038	petiole
http://purl.obolibrary.org/obo/TO_0000783	inflorescence axis size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0020122	inflorescence axis
http://purl.obolibrary.org/obo/TO_0002637	leaf size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0025034	leaf
http://purl.obolibrary.org/obo/TO_0000877	spine leaf size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0025173	spine leaf
http://purl.obolibrary.org/obo/TO_0000781	seedling hypocotyl size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0025291	seedling hypocotyl
http://purl.obolibrary.org/obo/TO_0000752	seedling cotyledon size	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.obolibrary.org/obo/PO_0025471	seedling cotyledon
