iri	iri label	attribute	attribute label	entity	entity label	
TO:0002627	fruit width	PATO:0000921	width	PO:0009001	fruit
TO:0000149	seed width	PATO:0000921	width	PO:0009010	seed
TO:0002608	sepal width	PATO:0000921	width	PO:0009031	sepal
TO:0002606	petal width	PATO:0000921	width	PO:0009032	petal
TO:0020034	glume width	PATO:0000921	width	PO:0009039	glume
TO:0002727	sterile lemma width	PATO:0000921	width	PO:0009040	sterile lemma
TO:0001035	stem width	PATO:0000921	width	PO:0009047	stem
TO:0000804	inflorescence width	PATO:0000921	width	PO:0009049	inflorescence
TO:0000564	spikelet width	PATO:0000921	width	PO:0009051	spikelet
TO:0000649	peduncle width	PATO:0000921	width	PO:0009053	peduncle
TO:0002720	leaf lamina width	PATO:0000921	width	PO:0020039	leaf lamina
TO:0002721	leaf sheath width	PATO:0000921	width	PO:0020104	leaf sheath
TO:0000370	leaf width	PATO:0000921	width	PO:0025034	leaf
TO:0011007	awn width	PATO:0000921	width	PO:0025349	awn
TO:1000015	leaf lamina lobe width	PATO:0000921	width	PO:0025517	leaf lamina lobe
