iri	iri name	attribute	attribute label	environment	environment label	
TO:0002706	Meloidogyne javanica resistance	PATO:0001046	resistance to	EO:0007371	Meloidogyne javanica
TO:0002704	Meloidogyne incognita resistance	PATO:0001046	resistance to	EO:0007372	Meloidogyne incognita
TO:0000386	rice ragged stunt virus resistance	PATO:0001046	resistance to	EO:0007195	rice ragged stunt virus
TO:0000088	rice yellow mottle virus resistance	PATO:0001046	resistance to	EO:0007318	rice yellow mottle virus
TO:0000045	udbatta disease resistance	PATO:0001046	resistance to	EO:0007362	Balansia oryzae-sativae
TO:0000356	brown spot disease resistance	PATO:0001046	resistance to	EO:0007211	Cochliobolus miyabeanus
TO:0000191	rice hispa resistance	PATO:0001046	resistance to	EO:0007296	Dicladispa armigera
TO:0000418	bakanae disease resistance	PATO:0001046	resistance to	EO:0007229	Gibberella fujikuroi
TO:0000332	rice whorl maggot resistance	PATO:0001046	resistance to	EO:0007289	Hydrellia philippina
TO:0000220	rice bug resistance	PATO:0001046	resistance to	EO:0007300	Leptocorisa oratorius
TO:0000074	blast disease resistance	PATO:0001046	resistance to	EO:0007226	Magnaporthe grisea
TO:0000292	yellow dwarf disease resistance	PATO:0001046	resistance to	EO:0007212	Mycoplasma
TO:0000212	green leafhopper resistance	PATO:0001046	resistance to	EO:0007308	Nephotettix spp


